,year,month,day,num1,num2,num3,num4,num5,num6,numzz
452,1964,06,14,1,22,23,29,39,49,
453,1964,06,21,14,27,33,37,39,48,
454,1964,06,28,5,10,11,22,27,37,
455,1964,07,05,10,12,13,22,23,49,
456,1964,07,12,1,18,35,36,47,49,
457,1964,07,19,3,12,24,37,38,46,
458,1964,07,26,31,34,37,41,44,48,
459,1964,08,02,16,34,36,40,45,47,
460,1964,08,09,9,16,34,36,38,41,
461,1964,08,16,6,14,23,36,45,46,
462,1964,08,23,12,16,20,32,37,45,
463,1964,08,30,4,17,31,35,36,40,
464,1964,09,06,34,36,38,41,43,45,
465,1964,09,13,1,4,6,20,24,27,
466,1964,09,20,18,21,32,39,42,43,
467,1964,09,27,9,22,26,29,41,42,
468,1964,10,04,8,20,25,35,46,47,
469,1964,10,11,2,23,34,38,42,46,
470,1964,10,18,1,6,17,33,34,44,
471,1964,10,25,14,16,18,19,29,39,
472,1964,11,01,1,14,22,30,36,40,
473,1964,11,08,2,18,21,26,32,41,
474,1964,11,15,3,9,23,24,33,38,
475,1964,11,22,5,9,22,33,39,46,
476,1964,11,29,5,11,17,31,32,40,
477,1964,12,06,2,4,8,23,33,45,
478,1964,12,13,10,17,28,30,36,49,
479,1964,12,20,15,20,29,30,39,46,
480,1964,12,27,15,16,21,35,37,47,
481,1965,01,03,7,13,23,25,33,43,
482,1965,01,10,4,8,10,12,15,35,
483,1965,01,17,7,9,17,18,27,47,
484,1965,01,24,13,18,24,31,38,46,
485,1965,01,31,10,26,29,32,34,42,
486,1965,02,07,5,8,13,23,29,49,
487,1965,02,14,3,13,33,37,42,47,
488,1965,02,21,6,9,28,36,46,49,
489,1965,02,28,8,15,18,27,30,35,
490,1965,03,07,14,18,27,33,38,42,
491,1965,03,14,3,4,19,34,43,49,
492,1965,03,21,9,29,33,39,43,45,
493,1965,03,28,9,13,16,34,36,37,
494,1965,04,04,6,15,27,28,34,46,
495,1965,04,11,2,4,16,23,26,30,
496,1965,04,19,1,2,3,5,47,48,
497,1965,04,25,1,14,22,27,30,42,
498,1965,05,02,10,23,31,34,45,49,
499,1965,05,09,4,29,31,36,37,49,
500,1965,05,16,11,12,21,37,41,47,
501,1965,05,23,2,23,27,31,39,45,
502,1965,05,30,4,9,11,24,29,31,
503,1965,06,07,1,5,15,29,33,38,
504,1965,06,13,6,12,15,23,27,47,
505,1965,06,20,3,16,20,21,29,32,
506,1965,06,27,3,24,37,38,47,49,
507,1965,07,04,8,12,17,19,21,25,
508,1965,07,11,9,10,17,33,46,47,
509,1965,07,18,7,9,15,25,38,46,
510,1965,07,25,4,19,20,27,32,40,
511,1965,08,01,8,13,17,31,41,44,
512,1965,08,08,19,22,31,32,44,48,
513,1965,08,15,3,5,12,25,32,48,
514,1965,08,22,3,4,6,12,21,43,
